"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;0,871276855469;-0,0228691101074
0,0002;1,19609832764;-0,0189208984375
0,0003;1,46923065186;-0,0149917602539
0,0004;1,7333984375;-0,011043548584
0,0005;1,9458770752;-0,00679016113281
0,0006;2,12802886963;-0,00253677368164
0,0007;2,26764678955;0,00261306762695
0,0008;2,37083435059;0,00625610351563
0,0009;2,41947174072;0,0114250183105
0,001;2,39810943604;0,0153541564941
0,0011;2,31018066406;0,0193023681641
0,0012;2,19478607178;0,0226402282715
0,0013;2,02484130859;0,0256729125977
0,0014;1,82437896729;0,0281143188477
0,0015;1,58462524414;0,0293159484863
0,0016;1,31149291992;0,0311470031738
0,0017;1,00803375244;0,0314521789551
0,0018;0,667953491211;0,0314521789551
0,0019;0,331115722656;0,0308418273926
0,002;0,000190734863281;0,0296211242676
0,0021;-0,333595275879;0,0271987915039
0,0022;-0,664520263672;0,0241661071777
0,0023;-1,03492736816;0,0214385986328
0,0024;-1,3111114502;0,0174903869629
0,0025;-1,58729553223;0,0141525268555
0,0026;-1,833152771;0,0102043151855
0,0027;-2,03342437744;0,00564575195313
0,0028;-2,21252441406;0,00141143798828
0,0029;-2,32791900635;-0,00406265258789
0,003;-2,41603851318;-0,00801086425781
0,0031;-2,46143341064;-0,0128555297852
0,0032;-2,41298675537;-0,0161933898926
0,0033;-2,32486724854;-0,0201416015625
0,0034;-2,20050811768;-0,0234794616699
0,0035;-2,02751159668;-0,0262069702148
0,0036;-1,81789398193;-0,0283432006836
0,0037;-1,56917572021;-0,0298500061035
0,0038;-1,2866973877;-0,031681060791
0,0039;-0,974082946777;-0,0310707092285
0,004;-0,63419342041;-0,0322723388672
0,0041;-0,297355651855;-0,0301551818848
0,0042;0,03662109375;-0,0286483764648
0,0043;0,419044494629;-0,0271224975586
0,0044;0,704383850098;-0,0237846374512
0,0045;1,04446411133;-0,020751953125
0,0046;1,33876800537;-0,0171089172363
0,0047;1,6149520874;-0,0134658813477
0,0048;1,8518447876;-0,00890731811523
0,0049;2,04601287842;-0,00436782836914
0,005;2,21004486084;0,000190734863281
0,0051;2,33135223389;0,00505447387695
0,0052;2,39810943604;0,0092887878418
0,0053;2,4133682251;0,013542175293
0,0054;2,36473083496;0,0171852111816
0,0055;2,25849151611;0,0211334228516
0,0056;2,11277008057;0,0235557556152
0,0057;1,92470550537;0,0265884399414
0,0058;1,70917510986;0,0293159484863
0,0059;1,43890380859;0,0305366516113
0,006;1,16271972656;0,0314521789551
0,0061;0,834846496582;0,0314521789551
0,0062;0,494956970215;0,0311470031738
0,0063;0,161170959473;0,0296211242676
0,0064;-0,172805786133;0,0284194946289
0,0065;-0,506782531738;0,0259780883789
0,0066;-0,849723815918;0,023250579834
0,0067;-1,16844177246;0,0199127197266
0,0068;-1,4476776123;0,0162696838379
0,0069;-1,72386169434;0,0120162963867
0,007;-1,93328857422;0,00747680664063
0,0071;-2,13069915771;0,00322341918945
0,0072;-2,27336883545;-0,00164031982422
0,0073;-2,38552093506;-0,00556945800781
0,0074;-2,44026184082;-0,0101280212402
0,0075;-2,44026184082;-0,0143814086914
0,0076;-2,37655639648;-0,0183296203613
0,0077;-2,26421356201;-0,0219535827637
0,0078;-2,11238861084;-0,0247001647949
0,0079;-1,91516876221;-0,0280380249023
0,008;-1,69048309326;-0,029239654541
0,0081;-1,41429901123;-0,0307655334473
0,0082;-1,12895965576;-0,0310707092285
0,0083;-0,798034667969;-0,0313758850098
0,0084;-0,458145141602;-0,0307655334473
0,0085;-0,124168395996;-0,0295448303223
0,0086;0,215721130371;-0,0283432006836
0,0087;0,549697875977;-0,0250053405762
0,0088;0,892639160156;-0,0228691101074
0,0089;1,2113571167;-0,0189208984375
0,009;1,48754119873;-0,0146865844727
0,0091;1,74865722656;-0,0107383728027
0,0092;1,95808410645;-0,00648498535156
0,0093;2,14309692383;-0,00223159790039
0,0094;2,27375030518;0,0029182434082
0,0095;2,37693786621;0,00656127929688
0,0096;2,42233276367;0,0117301940918
0,0097;2,39505767822;0,0156593322754
0,0098;2,31018066406;0,0196075439453
0,0099;2,18868255615;0,0229454040527
0,01;2,01873779297;0,0256729125977
0,0101;1,81541442871;0,0281143188477
0,0102;1,5754699707;0,0293159484863
0,0103;1,29928588867;0,0311470031738
0,0104;0,995826721191;0,0308418273926
0,0105;0,655937194824;0,0314521789551
0,0106;0,321960449219;0,0308418273926
0,0107;-0,0150680541992;0,0290107727051
0,0108;-0,348854064941;0,0271987915039
0,0109;-0,679779052734;0,0241661071777
0,011;-1,0196685791;0,0217437744141
0,0111;-1,32312774658;0,0171852111816
0,0112;-1,59645080566;0,0141525268555
0,0113;-1,83925628662;0,0098991394043
0,0114;-2,04257965088;0,00534057617188
0,0115;-2,21862792969;0,00110626220703
0,0116;-2,33402252197;-0,00375747680664
0,0117;-2,41889953613;-0,00801086425781
0,0118;-2,45532989502;-0,0128555297852
0,0119;-2,40993499756;-0,0164985656738
0,012;-2,31876373291;-0,020751953125
0,0121;-2,19440460205;-0,0234794616699
0,0122;-2,01225280762;-0,0262069702148
0,0123;-1,80892944336;-0,029239654541
0,0124;-1,54781341553;-0,0298500061035
0,0125;-1,2716293335;-0,0313758850098
