"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;-2,27336883545;-0,0735473632813
0,0002;-2,17914581299;-0,0708198547363
0,0003;-2,0486831665;-0,0671768188477
0,0004;-1,91822052002;-0,0632286071777
0,0005;-1,76029205322;-0,0586891174316
0,0006;-1,5811920166;-0,0529098510742
0,0007;-1,38702392578;-0,0477600097656
0,0008;-1,1926651001;-0,0407791137695
0,0009;-0,968170166016;-0,0334930419922
0,001;-0,722122192383;-0,0262069702148
0,0011;-0,500679016113;-0,0189208984375
0,0012;-0,257873535156;-0,0119400024414
0,0013;-0,0270843505859;-0,00375747680664
0,0014;0,203514099121;0,00322341918945
0,0015;0,437355041504;0,0117301940918
0,0016;0,671005249023;0,0189971923828
0,0017;0,907707214355;0,0265884399414
0,0018;1,12934112549;0,0338745117188
0,0019;1,33266448975;0,0402450561523
0,002;1,51786804199;0,0475311279297
0,0021;1,70612335205;0,052375793457
0,0022;1,86080932617;0,058765411377
0,0023;1,99756622314;0,063304901123
0,0024;2,121925354;0,0675582885742
0,0025;2,23121643066;0,0712013244629
0,0026;2,30407714844;0,0736236572266
0,0027;2,37083435059;0,0757598876953
0,0028;2,40726470947;0,0760459899902
0,0029;2,41947174072;0,0772666931152
0,003;2,3889541626;0,076961517334
0,0031;2,34050750732;0,0760459899902
0,0032;2,25849151611;0,0742340087891
0,0033;2,16751098633;0,0718116760254
0,0034;2,04601287842;0,068473815918
0,0035;1,91249847412;0,0639152526855
0,0036;1,7728805542;0,0599670410156
0,0037;1,59378051758;0,0542068481445
0,0038;1,40247344971;0,0487518310547
0,0039;1,21440887451;0,042667388916
0,004;0,992774963379;0,035400390625
0,0041;0,753021240234;0,0287246704102
0,0042;0,525283813477;0,0208282470703
0,0043;0,291633605957;0,0138473510742
0,0044;0,0608444213867;0,00534057617188
0,0045;-0,203132629395;-0,00345230102539
0,0046;-0,412559509277;-0,00951766967773
0,0047;-0,640296936035;-0,0174140930176
0,0048;-0,883102416992;-0,0250053405762
0,0049;-1,10778808594;-0,0325775146484
0,005;-1,31416320801;-0,0392532348633
0,0051;-1,49917602539;-0,0462341308594
0,0052;-1,69048309326;-0,0520133972168
0,0053;-1,85146331787;-0,0571632385254
0,0054;-1,99699401855;-0,0623321533203
0,0055;-2,1276473999;-0,0662612915039
0,0056;-2,23693847656;-0,0702095031738
0,0057;-2,31266021729;-0,0726318359375
0,0058;-2,38246917725;-0,0765800476074
0,0059;-2,42805480957;-0,0774955749512
0,006;-2,45532989502;-0,0781059265137
0,0061;-2,42805480957;-0,0781059265137
0,0062;-2,38246917725;-0,0768852233887
0,0063;-2,31266021729;-0,0747680664063
0,0064;-2,22778320313;-0,0720405578613
0,0065;-2,11238861084;-0,0695991516113
0,0066;-1,98192596436;-0,0650596618652
0,0067;-1,83620452881;-0,0611114501953
0,0068;-1,67236328125;-0,0559425354004
0,0069;-1,47495269775;-0,049877166748
0,007;-1,28974914551;-0,044116973877
0,0071;-1,08337402344;-0,0371360778809
0,0072;-0,849723815918;-0,0301551818848
0,0073;-0,606918334961;-0,0228691101074
0,0074;-0,370025634766;-0,0158882141113
0,0075;-0,139427185059;-0,00770568847656
0,0076;0,0942230224609;0,000495910644531
0,0077;0,321960449219;0,00778198242188
0,0078;0,558662414551;0,0153541564941
0,0079;0,795555114746;0,0229454040527
0,008;1,02310180664;0,0302314758301
0,0081;1,24168395996;0,0366020202637
0,0082;1,42993927002;0,0441932678223
0,0083;1,62105560303;0,0505638122559
0,0084;1,79100036621;0,0560188293457
0,0085;1,93367004395;0,0611877441406
0,0086;2,06432342529;0,0654411315918
0,0087;2,17952728271;0,0693702697754
0,0088;2,27375030518;0,0718116760254
0,0089;2,34661102295;0,0745391845703
0,009;2,39810943604;0,0763511657715
0,0091;2,41947174072;0,0772666931152
0,0092;2,40726470947;0,0772666931152
0,0093;2,36778259277;0,0766563415527
0,0094;2,294921875;0,0748443603516
0,0095;2,21900939941;0,0727081298828
0,0096;2,10971832275;0,0699806213379
0,0097;1,98535919189;0,066032409668
0,0098;1,84268951416;0,0624084472656
0,0099;1,68781280518;0,057544708252
0,01;1,49669647217;0,0517845153809
0,0101;1,3053894043;0,0460052490234
0,0102;1,10816955566;0,0384330749512
0,0103;0,877380371094;0,0320625305176
0,0104;0,643730163574;0,0241661071777
0,0105;0,40397644043;0,0171852111816
0,0106;0,176239013672;0,00959396362305
0,0107;-0,0543594360352;0,0016975402832
0,0108;-0,294303894043;-0,00587463378906
0,0109;-0,521850585938;-0,0140762329102
0,011;-0,752639770508;-0,0213623046875
0,0111;-0,992393493652;-0,029239654541
0,0112;-1,21994018555;-0,0356101989746
0,0113;-1,40819549561;-0,0425910949707
0,0114;-1,59645080566;-0,0489616394043
0,0115;-1,78146362305;-0,0547409057617
0,0116;-1,91822052002;-0,0598907470703
0,0117;-2,06089019775;-0,0644493103027
0,0118;-2,17914581299;-0,0687026977539
0,0119;-2,27336883545;-0,0714302062988
0,012;-2,35214233398;-0,0741577148438
0,0121;-2,40688323975;-0,0765800476074
0,0122;-2,44941711426;-0,0781059265137
0,0123;-2,44026184082;-0,0781059265137
0,0124;-2,40688323975;-0,0778007507324
0,0125;-2,34909057617;-0,0768852233887
0,0126;-2,2611618042;-0,0732421875
0,0127;-2,17304229736;-0,0711250305176
0,0128;-2,0486831665;-0,0671768188477
0,0129;-1,90601348877;-0,0629234313965
0,013;-1,7541885376;-0,0583839416504
0,0131;-1,57814025879;-0,052604675293
0,0132;-1,38092041016;-0,0474548339844
0,0133;-1,18064880371;-0,040168762207
0,0134;-0,959014892578;-0,0341033935547
0,0135;-0,716209411621;-0,0262069702148
0,0136;-0,488471984863;-0,0189208984375
0,0137;-0,251770019531;-0,0113487243652
0,0138;-0,0209808349609;-0,00314712524414
0,0139;0,209617614746;0,0041389465332
0,014;0,446319580078;0,0117301940918
0,0141;0,677108764648;0,0186920166016
0,0142;0,91381072998;0,0268936157227
0,0143;1,14154815674;0,0338745117188
0,0144;1,33876800537;0,0411605834961
0,0145;1,53007507324;0,0478363037109
