"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;1,68781280518;0,0311470031738
0,0002;1,50566101074;0,0247764587402
0,0003;1,33571624756;0,0186920166016
0,0004;1,14459991455;0,0114250183105
0,0005;0,932121276855;0,00505447387695
0,0006;0,713539123535;-0,00253677368164
0,0007;0,494956970215;-0,00890731811523
0,0008;0,276374816895;-0,0155830383301
0,0009;0,054931640625;-0,0222587585449
0,001;-0,160598754883;-0,0283432006836
0,0011;-0,379180908203;-0,0347137451172
0,0012;-0,600814819336;-0,0410842895508
0,0013;-0,822448730469;-0,0468444824219
0,0014;-1,04084014893;-0,0517082214355
0,0015;-1,24130249023;-0,0559425354004
0,0016;-1,42345428467;-0,0601959228516
0,0017;-1,60255432129;-0,0632286071777
0,0018;-1,76639556885;-0,0662612915039
0,0019;-1,90906524658;-0,0687026977539
0,002;-2,03647613525;-0,0711250305176
0,0021;-2,15492248535;-0,0717353820801
0,0022;-2,24895477295;-0,0723457336426
0,0023;-2,32791900635;-0,0720405578613
0,0024;-2,38857269287;-0,0711250305176
0,0025;-2,43110656738;-0,0699043273926
0,0026;-2,46143341064;-0,0680923461914
0,0027;-2,42805480957;-0,0659561157227
0,0028;-2,39162445068;-0,0626182556152
0,0029;-2,32181549072;-0,0592803955078
0,003;-2,25505828857;-0,0544357299805
0,0031;-2,15492248535;-0,0495719909668
0,0032;-2,03952789307;-0,0444221496582
0,0033;-1,90906524658;-0,038948059082
0,0034;-1,76029205322;-0,0328826904297
0,0035;-1,59339904785;-0,0265121459961
0,0036;-1,41124725342;-0,0210571289063
0,0037;-1,2321472168;-0,0134658813477
0,0038;-1,02272033691;-0,00679016113281
0,0039;-0,813293457031;-0,000114440917969
0,004;-0,588607788086;0,00656127929688
0,0041;-0,364112854004;0,013542175293
0,0042;-0,148582458496;0,0202178955078
0,0043;0,0730514526367;0,0259780883789
0,0044;0,285530090332;0,032958984375
0,0045;0,510215759277;0,0387382507324
0,0046;0,725746154785;0,0448036193848
0,0047;0,947189331055;0,0499534606934
0,0048;1,16271972656;0,054817199707
0,0049;1,34181976318;0,0590705871582
