"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;-0,898170471191;0,0168800354004
0,0002;-1,14421844482;0,0092887878418
0,0003;-1,37481689453;0,0029182434082
0,0004;-1,58729553223;-0,00497817993164
0,0005;-1,78451538086;-0,011043548584
0,0006;-1,94854736328;-0,0177192687988
0,0007;-2,1032333374;-0,0247001647949
0,0008;-2,22778320313;-0,0307655334473
0,0009;-2,31876373291;-0,0374412536621
0,001;-2,3946762085;-0,042896270752
0,0011;-2,4341583252;-0,0483703613281
0,0012;-2,44331359863;-0,0520133972168
0,0013;-2,40077972412;-0,0562477111816
0,0014;-2,33402252197;-0,0586891174316
0,0015;-2,24590301514;-0,0608062744141
0,0016;-2,12459564209;-0,0623321533203
0,0017;-1,97887420654;-0,0629234313965
0,0018;-1,81198120117;-0,063533782959
0,0019;-1,61457061768;-0,0617218017578
0,002;-1,39904022217;-0,0611114501953
0,0021;-1,18064880371;-0,0574684143066
0,0022;-0,922584533691;-0,0541305541992
0,0023;-0,655364990234;-0,0504875183105
0,0024;-0,391387939453;-0,0456237792969
0,0025;-0,130271911621;-0,0407791137695
0,0026;0,130653381348;-0,0347137451172
0,0027;0,397872924805;-0,0289344787598
0,0028;0,658798217773;-0,0222587585449
0,0029;0,919914245605;-0,0158882141113
0,003;1,17797851563;-0,00860214233398
0,0031;1,39350891113;-0,00133514404297
0,0032;1,60293579102;0,00564575195313
0,0033;1,79405212402;0,0126266479492
0,0034;1,95808410645;0,0189971923828
0,0035;2,10075378418;0,0259780883789
0,0036;2,22206115723;0,0317573547363
0,0037;2,31018066406;0,0381278991699
0,0038;2,38609313965;0,0441932678223
0,0039;2,41641998291;0,0484466552734
0,004;2,41031646729;0,0529861450195
0,0041;2,36473083496;0,056324005127
0,0042;2,28271484375;0,0590705871582
0,0043;2,18563079834;0,0605773925781
0,0044;2,05211639404;0,0624084472656
0,0045;1,90334320068;0,0626945495605
0,0046;1,7333984375;0,0624084472656
0,0047;1,52702331543;0,0617980957031
0,0048;1,31759643555;0,0596618652344
0,0049;1,08070373535;0,0569343566895
0,005;0,82893371582;0,0532913208008
0,0051;0,561714172363;0,0493431091309
0,0052;0,300788879395;0,0444984436035
0,0053;0,03662109375;0,0390243530273
0,0054;-0,218391418457;0,0332641601563
0,0055;-0,485420227051;0,0271987915039
0,0056;-0,746536254883;0,0208282470703
0,0057;-1,01051330566;0,013542175293
0,0058;-1,25637054443;0,00656127929688
0,0059;-1,46884918213;-0,000724792480469
0,006;-1,68437957764;-0,00740051269531
0,0061;-1,86042785645;-0,0143814086914
0,0062;-2,02445983887;-0,0210571289063
0,0063;-2,16407775879;-0,0274276733398
0,0064;-2,27336883545;-0,0337982177734
0,0065;-2,36434936523;-0,040168762207
0,0066;-2,41603851318;-0,0456237792969
0,0067;-2,45838165283;-0,049877166748
0,0068;-2,43110656738;-0,0541305541992
0,0069;-2,3796081543;-0,0568580627441
0,007;-2,3006439209;-0,0598907470703
0,0071;-2,19440460205;-0,0614166259766
0,0072;-2,06680297852;-0,0626182556152
0,0073;-1,89990997314;-0,063533782959
0,0074;-1,72996520996;-0,0623321533203
0,0075;-1,51748657227;-0,0620269775391
0,0076;-1,29890441895;-0,0586891174316
0,0077;-1,06525421143;-0,0565528869629
0,0078;-0,810241699219;-0,052604675293
0,0079;-0,543212890625;-0,0483703613281
0,008;-0,272941589355;-0,0438117980957
0,0081;-0,0150680541992;-0,0380516052246
0,0082;0,249099731445;-0,0322723388672
0,0083;0,51326751709;-0,0255966186523
0,0084;0,780296325684;-0,0198364257813
0,0085;1,03530883789;-0,0122451782227
0,0086;1,27506256104;-0,00556945800781
0,0087;1,48448944092;0,0016975402832
0,0088;1,69086456299;0,00898361206055
0,0089;1,86996459961;0,0153541564941
0,009;2,02178955078;0,0226402282715
0,0091;2,1614074707;0,0281143188477
0,0092;2,26154327393;0,0350952148438
0,0093;2,34966278076;0,0408554077148
0,0094;2,39810943604;0,0460052490234
0,0095;2,41947174072;0,0508689880371
0,0096;2,3889541626;0,0542068481445
