"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;2,31323242188;0,0105094909668
0,0002;2,39200592041;0,0156593322754
0,0003;2,42538452148;0,0199127197266
0,0004;2,38609313965;0,024471282959
0,0005;2,30712890625;0,0278091430664
0,0006;2,19783782959;0,0320625305176
0,0007;2,04296112061;0,0347900390625
0,0008;1,86386108398;0,0369071960449
0,0009;1,65138244629;0,0387382507324
0,001;1,40552520752;0,0396347045898
0,0011;1,14765167236;0,0399398803711
0,0012;0,850105285645;0,0393295288086
0,0013;0,546646118164;0,0384330749512
0,0014;0,236892700195;0,0359916687012
0,0015;-0,0665664672852;0,0344848632813
0,0016;-0,370025634766;0,0314521789551
0,0017;-0,676727294922;0,0278091430664
0,0018;-0,98934173584;0,0238609313965
0,0019;-1,2716293335;0,0189971923828
0,002;-1,52053833008;0,0144577026367
0,0021;-1,76029205322;0,00898361206055
0,0022;-1,95770263672;0,00444412231445
0,0023;-2,12459564209;-0,000724792480469
0,0024;-2,27031707764;-0,00587463378906
0,0025;-2,36740112305;-0,011043548584
0,0026;-2,43110656738;-0,0161933898926
0,0027;-2,45532989502;-0,020751953125
0,0028;-2,40688323975;-0,0255966186523
0,0029;-2,32486724854;-0,0289344787598
0,003;-2,20947265625;-0,0328826904297
0,0031;-2,05783843994;-0,0350189208984
0,0032;-1,86653137207;-0,0374412536621
0,0033;-1,65710449219;-0,0392532348633
0,0034;-1,40514373779;-0,0398635864258
0,0035;-1,14116668701;-0,0404739379883
0,0036;-0,843620300293;-0,0398635864258
0,0037;-0,527954101563;-0,038948059082
0,0038;-0,218391418457;-0,0362205505371
0,0039;0,0852584838867;-0,0341033935547
0,004;0,39176940918;-0,0307655334473
0,0041;0,698280334473;-0,0268173217773
0,0042;1,00498199463;-0,0225639343262
0,0043;1,28421783447;-0,0183296203613
0,0044;1,53312683105;-0,0137710571289
0,0045;1,76982879639;-0,00831604003906
0,0046;1,95808410645;-0,00406265258789
0,0047;2,12497711182;0,00200271606445
0,0048;2,2554397583;0,00717163085938
0,0049;2,35557556152;0,012321472168
0,005;2,41031646729;0,0171852111816
0,0051;2,4133682251;0,0217437744141
0,0052;2,36473083496;0,0259780883789
0,0053;2,26764678955;0,0293159484863
0,0054;2,14614868164;0,0332641601563
0,0055;1,97925567627;0,035400390625
0,0056;1,79405212402;0,0378227233887
0,0057;1,56345367432;0,0393295288086
0,0058;1,31454467773;0,0399398803711
0,0059;1,03530883789;0,0402450561523
0,006;0,734710693359;0,0387382507324
0,0061;0,428199768066;0,0381278991699
0,0062;0,121688842773;0,0350952148438
0,0063;-0,18196105957;0,0332641601563
0,0064;-0,485420227051;0,0299263000488
0,0065;-0,801086425781;0,0259780883789
0,0066;-1,10168457031;0,0223350524902
0,0067;-1,36566162109;0,0174903869629
0,0068;-1,6206741333;0,0129318237305
0,0069;-1,83620452881;0,00717163085938
0,007;-2,02140808105;0,00261306762695
0,0071;-2,18524932861;-0,00284194946289
0,0072;-2,30674743652;-0,00801086425781
0,0073;-2,39162445068;-0,0128555297852
0,0074;-2,44331359863;-0,0180244445801
0,0075;-2,44331359863;-0,0225639343262
0,0076;-2,37655639648;-0,0271224975586
0,0077;-2,28233337402;-0,0301551818848
0,0078;-2,15187072754;-0,0341033935547
0,0079;-1,98497772217;-0,0362205505371
0,008;-1,7936706543;-0,0383567810059
0,0081;-1,55696868896;-0,0398635864258
0,0082;-1,3111114502;-0,0398635864258
0,0083;-1,02882385254;-0,0404739379883
0,0084;-0,719261169434;-0,0392532348633
0,0085;-0,412559509277;-0,0383567810059
0,0086;-0,102996826172;-0,0353240966797
0,0087;0,203514099121;-0,0331878662109
0,0088;0,510215759277;-0,029239654541
0,0089;0,822830200195;-0,0253105163574
