"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;2,31323242188;0,0086784362793
0,0002;2,25849151611;0,00625610351563
0,0003;2,18868255615;0,0035285949707
0,0004;2,10666656494;-0,000114440917969
0,0005;2,01263427734;-0,00223159790039
0,0006;1,90944671631;-0,00497817993164
0,0007;1,80320739746;-0,00770568847656
0,0008;1,67579650879;-0,0101280212402
0,0009;1,53617858887;-0,0128555297852
0,001;1,39656066895;-0,0155830383301
0,0011;1,25675201416;-0,0186157226563
0,0012;1,09596252441;-0,0201416015625
0,0013;0,92601776123;-0,0225639343262
0,0014;0,746917724609;-0,0250053405762
0,0015;0,570869445801;-0,0268173217773
0,0016;0,400924682617;-0,0286483764648
0,0017;0,218772888184;-0,0301551818848
0,0018;0,048828125;-0,0325775146484
0,0019;-0,130271911621;-0,0325775146484
0,002;-0,297355651855;-0,0341033935547
0,0021;-0,479316711426;-0,0347137451172
0,0022;-0,655364990234;-0,0356101989746
0,0023;-0,837516784668;-0,0365257263184
0,0024;-1,00746154785;-0,0365257263184
0,0025;-1,17149353027;-0,0374412536621
0,0026;-1,32923126221;-0,0365257263184
0,0027;-1,46579742432;-0,0359153747559
0,0028;-1,61151885986;-0,0353240966797
0,0029;-1,75113677979;-0,0347137451172
0,003;-1,86042785645;-0,0344085693359
0,0031;-1,96971893311;-0,0325775146484
0,0032;-2,06680297852;-0,0319862365723
0,0033;-2,16407775879;-0,0298500061035
0,0034;-2,23999023438;-0,0283432006836
0,0035;-2,30369567871;-0,0262069702148
0,0036;-2,36740112305;-0,0247001647949
0,0037;-2,40077972412;-0,0228691101074
0,0038;-2,43110656738;-0,0198364257813
0,0039;-2,45227813721;-0,0186157226563
0,004;-2,44026184082;-0,0155830383301
0,0041;-2,41298675537;-0,0128555297852
0,0042;-2,37350463867;-0,0104331970215
0,0043;-2,32181549072;-0,00770568847656
0,0044;-2,25811004639;-0,00526428222656
0,0045;-2,18524932861;-0,00253677368164
0,0046;-2,09121704102;0,000495910644531
0,0047;-1,99699401855;0,00322341918945
0,0048;-1,88770294189;0,00595092773438
0,0049;-1,77555084229;0,0086784362793
0,005;-1,64794921875;0,0114250183105
0,0051;-1,49917602539;0,0138473510742
0,0052;-1,36260986328;0,0165748596191
0,0053;-1,20487213135;0,0184059143066
0,0054;-1,04694366455;0,0211334228516
0,0055;-0,873947143555;0,023250579834
0,0056;-0,694847106934;0,0256729125977
0,0057;-0,521850585938;0,0275039672852
0,0058;-0,333595275879;0,0287246704102
0,0059;-0,16975402832;0,0308418273926
0,006;0,00934600830078;0,0314521789551
0,0061;0,179290771484;0,0335693359375
0,0062;0,355339050293;0,0344848632813
0,0063;0,528335571289;0,035400390625
0,0064;0,701332092285;0,0359916687012
0,0065;0,880432128906;0,0359916687012
0,0066;1,07173919678;0,0369071960449
0,0067;1,21746063232;0,0356864929199
0,0068;1,35707855225;0,0366020202637
0,0069;1,49669647217;0,0359916687012
0,007;1,63631439209;0,0356864929199
0,0071;1,76677703857;0,0347900390625
0,0072;1,87911987305;0,0332641601563
0,0073;1,97925567627;0,0326538085938
0,0074;2,07633972168;0,0305366516113
0,0075;2,1614074707;0,0299263000488
0,0076;2,23731994629;0,0281143188477
0,0077;2,294921875;0,0259780883789
0,0078;2,34661102295;0,0241661071777
0,0079;2,3889541626;0,0214385986328
0,008;2,41031646729;0,0196075439453
0,0081;2,42538452148;0,0165748596191
0,0082;2,40421295166;0,0150680541992
0,0083;2,37998962402;0,012321472168
0,0084;2,34050750732;0,00959396362305
0,0085;2,27375030518;0,00717163085938
0,0086;2,21290588379;0,00383377075195
0,0087;2,13718414307;0,0016975402832
0,0088;2,04601287842;-0,00192642211914
0,0089;1,9458770752;-0,00406265258789
0,009;1,83963775635;-0,00679016113281
0,0091;1,72424316406;-0,00982284545898
0,0092;1,58462524414;-0,0119400024414
0,0093;1,43890380859;-0,0152778625488
0,0094;1,30233764648;-0,0174140930176
0,0095;1,15051269531;-0,0204467773438
0,0096;0,980567932129;-0,0219535827637
0,0097;0,807571411133;-0,0240898132324
0,0098;0,625419616699;-0,0262069702148
0,0099;0,449371337891;-0,0277328491211
0,01;0,276374816895;-0,0301551818848
0,0101;0,103378295898;-0,0310707092285
0,0102;-0,0726699829102;-0,0328826904297
0,0103;-0,245666503906;-0,0334930419922
0,0104;-0,424766540527;-0,0344085693359
0,0105;-0,597763061523;-0,0353240966797
0,0106;-0,801086425781;-0,0359153747559
0,0107;-0,949859619141;-0,0371360778809
0,0108;-1,12285614014;-0,0362205505371
0,0109;-1,27773284912;-0,0368309020996
0,011;-1,42345428467;-0,0362205505371
0,0111;-1,56307220459;-0,0356101989746
0,0112;-1,70269012451;-0,0350189208984
0,0113;-1,83010101318;-0,0341033935547
0,0114;-1,93634033203;-0,0334930419922
0,0115;-2,03647613525;-0,031681060791
0,0116;-2,13375091553;-0,0307655334473
0,0117;-2,21862792969;-0,0286483764648
0,0118;-2,28843688965;-0,0268173217773
