"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;-2,24590301514;-0,0395584106445
0,0002;-2,10628509521;-0,0416946411133
0,0003;-1,93328857422;-0,0444221496582
0,0004;-1,75113677979;-0,045337677002
0,0005;-1,51748657227;-0,0462341308594
0,0006;-1,28078460693;-0,0462341308594
0,0007;-1,01356506348;-0,0456237792969
0,0008;-0,713157653809;-0,044116973877
0,0009;-0,424766540527;-0,0416946411133
0,001;-0,130271911621;-0,0398635864258
0,0011;0,164031982422;-0,0350189208984
0,0012;0,458526611328;-0,031681060791
0,0013;0,743865966797;-0,0271224975586
0,0014;1,0383605957;-0,0222587585449
0,0015;1,29928588867;-0,0171089172363
0,0016;1,53007507324;-0,0116539001465
0,0017;1,76067352295;-0,00648498535156
0,0018;1,9458770752;-0,000114440917969
0,0019;2,10380554199;0,0047492980957
0,002;2,23426818848;0,0111198425293
0,0021;2,34050750732;0,0168800354004
0,0022;2,39505767822;0,0217437744141
0,0023;2,42538452148;0,0271987915039
0,0024;2,3889541626;0,0311470031738
0,0025;2,31018066406;0,0356864929199
0,0026;2,21004486084;0,0381278991699
0,0027;2,06737518311;0,0420761108398
0,0028;1,90334320068;0,043888092041
0,0029;1,70917510986;0,0454139709473
0,003;1,47838592529;0,0463104248047
0,0031;1,24168395996;0,0460052490234
0,0032;0,962448120117;0,0457000732422
0,0033;0,671005249023;0,0435829162598
0,0034;0,367546081543;0,0417709350586
0,0035;0,0911712646484;0,0381278991699
0,0036;-0,200080871582;0,035400390625
0,0037;-0,488471984863;0,0314521789551
0,0038;-0,792121887207;0,0271987915039
0,0039;-1,07727050781;0,0223350524902
0,004;-1,33228302002;0,0168800354004
0,0041;-1,56917572021;0,0114250183105
0,0042;-1,79061889648;0,00534057617188
0,0043;-1,97582244873;0,000190734863281
0,0044;-2,13375091553;-0,00556945800781
0,0045;-2,26726531982;-0,0113487243652
0,0046;-2,36434936523;-0,0164985656738
0,0047;-2,42195129395;-0,0219535827637
0,0048;-2,45838165283;-0,0268173217773
0,0049;-2,41603851318;-0,031681060791
0,005;-2,34909057617;-0,0353240966797
0,0051;-2,24285125732;-0,0395584106445
0,0052;-2,10933685303;-0,0416946411133
0,0053;-1,93328857422;-0,0438117980957
0,0054;-1,75113677979;-0,045337677002
0,0055;-1,51748657227;-0,0459289550781
0,0056;-1,27773284912;-0,0462341308594
0,0057;-1,01051330566;-0,0456237792969
0,0058;-0,707054138184;-0,0444221496582
0,0059;-0,421714782715;-0,0419998168945
0,006;-0,124168395996;-0,0395584106445
0,0061;0,161170959473;-0,0353240966797
0,0062;0,461578369141;-0,0313758850098
0,0063;0,743865966797;-0,0271224975586
0,0064;1,03530883789;-0,0222587585449
0,0065;1,30233764648;-0,0174140930176
