"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;-1,40514373779;-0,0356101989746
0,0002;-1,13506317139;-0,0350189208984
0,0003;-0,816345214844;-0,0347137451172
0,0004;-0,491523742676;-0,0341033935547
0,0005;-0,16975402832;-0,0325775146484
0,0006;0,152015686035;-0,0307655334473
0,0007;0,470733642578;-0,0277328491211
0,0008;0,801467895508;-0,0250053405762
0,0009;1,11427307129;-0,0204467773438
0,001;1,39045715332;-0,0164985656738
0,0011;1,64833068848;-0,0119400024414
0,0012;1,8669128418;-0,00740051269531
0,0013;2,05211639404;-0,00284194946289
0,0014;2,20699310303;0,00200271606445
0,0015;2,32830047607;0,00656127929688
0,0016;2,39810943604;0,0117301940918
0,0017;2,42538452148;0,0153541564941
0,0018;2,37693786621;0,0202178955078
0,0019;2,28576660156;0,0241661071777
0,002;2,15835571289;0,0275039672852
0,0021;1,98841094971;0,0305366516113
0,0022;1,79710388184;0,0323486328125
0,0023;1,55429840088;0,0344848632813
0,0024;1,29623413086;0,0344848632813
0,0025;0,998878479004;0,0356864929199
0,0026;0,680160522461;0,0350952148438
0,0027;0,355339050293;0,0338745117188
0,0028;0,0396728515625;0,0323486328125
0,0029;-0,282096862793;0,0299263000488
0,003;-0,603866577148;0,0271987915039
0,0031;-0,925636291504;0,023250579834
0,0032;-1,2321472168;0,0193023681641
0,0033;-1,49326324463;0,0153541564941
0,0034;-1,75113677979;0,0111198425293
0,0035;-1,94854736328;0,00656127929688
0,0036;-2,13661193848;0,0016975402832
0,0037;-2,27336883545;-0,00314712524414
0,0038;-2,37655639648;-0,00831604003906
0,0039;-2,43721008301;-0,0128555297852
0,004;-2,44331359863;-0,0177192687988
0,0041;-2,38552093506;-0,0213623046875
0,0042;-2,29148864746;-0,0250053405762
0,0043;-2,16102600098;-0,0280380249023
0,0044;-1,98497772217;-0,0307655334473
0,0045;-1,78146362305;-0,0325775146484
0,0046;-1,53274536133;-0,0344085693359
0,0047;-1,26552581787;-0,0356101989746
0,0048;-0,965118408203;-0,0353240966797
0,0049;-0,63419342041;-0,0353240966797
0,005;-0,315475463867;-0,0331878662109
0,0051;0,00934600830078;-0,031681060791
0,0052;0,321960449219;-0,0289344787598
0,0053;0,646781921387;-0,0259017944336
0,0054;0,971603393555;-0,0222587585449
0,0055;1,26895904541;-0,0186157226563
0,0056;1,52702331543;-0,0146865844727
0,0057;1,77593231201;-0,00982284545898
0,0058;1,97315216064;-0,00526428222656
0,0059;2,14309692383;-0,000114440917969
0,006;2,27069854736;0,0047492980957
0,0061;2,37083435059;0,00959396362305
0,0062;2,4133682251;0,0141525268555
0,0063;2,40421295166;0,0181007385254
0,0064;2,33745574951;0,0223350524902
0,0065;2,22206115723;0,0250816345215
0,0066;2,06432342529;0,0290107727051
0,0067;1,88522338867;0,0314521789551
0,0068;1,66664123535;0,0335693359375
0,0069;1,40552520752;0,0347900390625
0,007;1,13849639893;0,035400390625
0,0071;0,822830200195;0,035400390625
0,0072;0,507164001465;0,0344848632813
0,0073;0,179290771484;0,0332641601563
0,0074;-0,136375427246;0,0308418273926
0,0075;-0,461196899414;0,0287246704102
0,0076;-0,779914855957;0,0253677368164
0,0077;-1,10168457031;0,0214385986328
0,0078;-1,38397216797;0,0177955627441
0,0079;-1,63898468018;0,0126266479492
0,008;-1,86347961426;0,00898361206055
0,0081;-2,05783843994;0,0029182434082
0,0082;-2,21862792969;-0,00102996826172
0,0083;-2,33402252197;-0,00556945800781
0,0084;-2,41298675537;-0,011043548584
0,0085;-2,46143341064;-0,0152778625488
0,0086;-2,41603851318;-0,0198364257813
0,0087;-2,34622955322;-0,0231742858887
0,0088;-2,22473144531;-0,0274276733398
0,0089;-2,06680297852;-0,0295448303223
0,009;-1,87568664551;-0,0322723388672
0,0091;-1,65100097656;-0,0341033935547
0,0092;-1,38397216797;-0,0347137451172
0,0093;-1,10778808594;-0,0353240966797
0,0094;-0,794982910156;-0,0347137451172
0,0095;-0,461196899414;-0,0344085693359
0,0096;-0,139427185059;-0,0322723388672
0,0097;0,179290771484;-0,0310707092285
0,0098;0,50106048584;-0,0274276733398
0,0099;0,825881958008;-0,0237846374512
0,01;1,13849639893;-0,0204467773438
0,0101;1,40857696533;-0,0161933898926
0,0102;1,66664123535;-0,0119400024414
0,0103;1,88217163086;-0,00709533691406
0,0104;2,06432342529;-0,00284194946289
0,0105;2,21900939941;0,0023078918457
0,0106;2,3344039917;0,00717163085938
0,0107;2,39810943604;0,0117301940918
0,0108;2,41641998291;0,0165748596191
0,0109;2,36473083496;0,0205230712891
0,011;2,26764678955;0,024471282959
0,0111;2,14309692383;0,0271987915039
0,0112;1,97010040283;0,0308418273926
0,0113;1,7728805542;0,0320625305176
0,0114;1,5209197998;0,0344848632813
0,0115;1,26895904541;0,035400390625
0,0116;0,968551635742;0,035400390625
0,0117;0,646781921387;0,0347900390625
0,0118;0,325012207031;0,0335693359375
0,0119;0,00629425048828;0,0320625305176
