"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;1,45416259766;0,013542175293
0,0002;1,55429840088;0,013542175293
0,0003;1,64527893066;0,0129318237305
0,0004;1,73034667969;0,0126266479492
0,0005;1,80931091309;0,0126266479492
0,0006;1,88217163086;0,0117301940918
0,0007;1,95198059082;0,0114250183105
0,0008;2,01568603516;0,0102043151855
0,0009;2,07939147949;0,0105094909668
0,001;2,14309692383;0,0102043151855
0,0011;2,19173431396;0,0092887878418
0,0012;2,23731994629;0,00898361206055
0,0013;2,2798538208;0,00747680664063
0,0014;2,31323242188;0,00717163085938
0,0015;2,35557556152;0,00595092773438
0,0016;2,37693786621;0,00564575195313
0,0017;2,39810943604;0,00534057617188
0,0018;2,41031646729;0,00444412231445
0,0019;2,41031646729;0,00383377075195
0,002;2,40116119385;0,0023078918457
0,0021;2,38609313965;0,0023078918457
0,0022;2,36167907715;0,000801086425781
0,0023;2,33135223389;0,000495910644531
0,0024;2,29187011719;-0,000114440917969
0,0025;2,24933624268;-0,00102996826172
0,0026;2,20394134521;-0,00192642211914
0,0027;2,15835571289;-0,00314712524414
0,0028;2,10075378418;-0,00345230102539
0,0029;2,03685760498;-0,00467300415039
0,003;1,97010040283;-0,00526428222656
0,0031;1,90029144287;-0,00587463378906
0,0032;1,83048248291;-0,00679016113281
0,0033;1,75151824951;-0,00770568847656
0,0034;1,66664123535;-0,00890731811523
0,0035;1,5754699707;-0,00921249389648
0,0036;1,48143768311;-0,00982284545898
0,0037;1,3843536377;-0,0107383728027
0,0038;1,29318237305;-0,011043548584
0,0039;1,19609832764;-0,0116539001465
0,004;1,08070373535;-0,0122451782227
0,0041;0,971603393555;-0,0131607055664
0,0042;0,853157043457;-0,0134658813477
0,0043;0,737762451172;-0,0134658813477
0,0044;0,619506835938;-0,0140762329102
0,0045;0,507164001465;-0,0146865844727
0,0046;0,39176940918;-0,0152778625488
0,0047;0,27027130127;-0,0152778625488
0,0048;0,15811920166;-0,0161933898926
0,0049;0,03662109375;-0,0155830383301
0,005;-0,0757217407227;-0,0161933898926
0,0051;-0,193977355957;-0,0161933898926
0,0052;-0,312423706055;-0,0161933898926
0,0053;-0,424766540527;-0,0164985656738
0,0054;-0,546073913574;-0,0161933898926
0,0055;-0,655364990234;-0,0158882141113
0,0056;-0,776863098145;-0,0158882141113
0,0057;-0,898170471191;-0,0155830383301
0,0058;-1,01051330566;-0,0152778625488
0,0059;-1,12895965576;-0,0152778625488
0,006;-1,22909545898;-0,0155830383301
0,0061;-1,32617950439;-0,0146865844727
0,0062;-1,42040252686;-0,0140762329102
0,0063;-1,51443481445;-0,0137710571289
0,0064;-1,61457061768;-0,0137710571289
0,0065;-1,70269012451;-0,0131607055664
0,0066;-1,79061889648;-0,0125503540039
0,0067;-1,86042785645;-0,0128555297852
0,0068;-1,93634033203;-0,0113487243652
0,0069;-2,00309753418;-0,0107383728027
0,007;-2,07290649414;-0,0104331970215
0,0071;-2,13966369629;-0,00982284545898
0,0072;-2,18830108643;-0,00921249389648
0,0073;-2,24285125732;-0,00831604003906
0,0074;-2,28233337402;-0,00831604003906
0,0075;-2,32181549072;-0,00679016113281
0,0076;-2,35824584961;-0,00648498535156
0,0077;-2,38857269287;-0,00556945800781
0,0078;-2,41889953613;-0,00497817993164
0,0079;-2,43110656738;-0,00497817993164
0,008;-2,44941711426;-0,00345230102539
0,0081;-2,45838165283;-0,00375747680664
0,0082;-2,45532989502;-0,00192642211914
0,0083;-2,43721008301;-0,00133514404297
0,0084;-2,42195129395;-0,000724792480469
0,0085;-2,40077972412;-0,000114440917969
0,0086;-2,37045288086;0,000190734863281
0,0087;-2,33402252197;0,0016975402832
0,0088;-2,29759216309;0,00141143798828
0,0089;-2,25811004639;0,00322341918945
0,009;-2,20947265625;0,00383377075195
0,0091;-2,15187072754;0,00444412231445
0,0092;-2,09732055664;0,00534057617188
0,0093;-2,02751159668;0,00564575195313
0,0094;-1,95770263672;0,00656127929688
0,0095;-1,88179016113;0,00625610351563
0,0096;-1,81198120117;0,00778198242188
0,0097;-1,72996520996;0,00839233398438
